id,category_code,degree,domain_name,original_phases,replace_type,target_produced_words1,target_produced_words2,Word,Sentiment
14869,28,80,general,no-win,Ngram,no-win,no-win,no-win,Negative
14870,27,80,general,in accord,Ngram,in-accord,in-accord,in-accord,Positive
14871,28,80,general,bleed white,Ngram,bleed-white,bleed-white,bleed-white,Negative
14872,28,80,general,often caused by emotion,Ngram,often-caused-by-emotion,often-caused-by-emotion,often-caused-by-emotion,Negative
14873,27,80,general,in character,Ngram,in-character,in-character,in-character,Positive
14874,28,80,general,blind as a bat,Ngram,blind-as-a-bat,blind-as-a-bat,blind-as-a-bat,Negative
14875,28,80,general,old bat,Ngram,old-bat,old-bat,old-bat,Negative
14876,27,80,general,in favor,Ngram,in-favor,in-favor,in-favor,Positive
14877,28,80,general,blow a fuse,Ngram,blow-a-fuse,blow-a-fuse,blow-a-fuse,Negative
14878,28,80,general,on a downer,Ngram,on-a-downer,on-a-downer,on-a-downer,Negative
14879,27,80,general,in high spirits,Ngram,in-high-spirits,in-high-spirits,in-high-spirits,Positive
14880,28,80,general,blow hot and cold,Ngram,blow-hot-and-cold,blow-hot-and-cold,blow-hot-and-cold,Negative
14881,28,80,general,on a string,Ngram,on-a-string,on-a-string,on-a-string,Negative
14882,27,80,general,in keeping,Ngram,in-keeping,in-keeping,in-keeping,Positive
14883,28,80,general,blow one's cork,Ngram,blow-one's-cork,blow-ones-cork,blow-one's-cork,Negative
14884,28,80,general,on edge,Ngram,on-edge,on-edge,on-edge,Negative
14885,27,80,general,in the black,Ngram,in-the-black,in-the-black,in-the-black,Positive
14886,28,80,general,blow one's lid,Ngram,blow-one's-lid,blow-ones-lid,blow-one's-lid,Negative
14887,28,80,general,on fire,Ngram,on-fire,on-fire,on-fire,Negative
14888,27,80,general,in the cards,Ngram,in-the-cards,in-the-cards,in-the-cards,Positive
14889,28,80,general,blow one's stack,Ngram,blow-one's-stack,blow-ones-stack,blow-one's-stack,Negative
14890,28,80,general,on pins and needles,Ngram,on-pins-and-needles,on-pins-and-needles,on-pins-and-needles,Negative
14891,27,80,general,in the gravy,Ngram,in-the-gravy,in-the-gravy,in-the-gravy,Positive
14892,28,80,general,blow one's top,Ngram,blow-one's-top,blow-ones-top,blow-one's-top,Negative
14893,28,80,general,on the rocks,Ngram,on-the-rocks,on-the-rocks,on-the-rocks,Negative
14894,27,80,general,in the groove,Ngram,in-the-groove,in-the-groove,in-the-groove,Positive
14895,28,80,general,blow out,Ngram,blow-out,blow-out,blow-out,Negative
14896,28,80,general,on the warpath,Ngram,on-the-warpath,on-the-warpath,on-the-warpath,Negative
14897,27,80,general,in the lead,Ngram,in-the-lead,in-the-lead,in-the-lead,Positive
14898,28,80,general,blow up,Ngram,blow-up,blow-up,blow-up,Negative
14899,28,80,general,on thin ice,Ngram,on-thin-ice,on-thin-ice,on-thin-ice,Negative
14900,27,80,general,in the mood,Ngram,in-the-mood,in-the-mood,in-the-mood,Positive
14901,28,80,general,blowing a gasket,Ngram,blowing-a-gasket,blowing-a-gasket,blowing-a-gasket,Negative
14902,28,80,general,out of a clear blue sky,Ngram,out-of-a-clear-blue-sky,out-of-a-clear-blue-sky,out-of-a-clear-blue-sky,Negative
14903,27,80,general,in the pink of health,Ngram,in-the-pink-of-health,in-the-pink-of-health,in-the-pink-of-health,Positive
14904,28,80,general,blowing one's top,Ngram,blowing-one's-top,blowing-ones-top,blowing-one's-top,Negative
14905,28,80,general,out of control,Ngram,out-of-control,out-of-control,out-of-control,Negative
14906,27,80,general,into something,Ngram,into-something,into-something,into-something,Positive
14907,28,80,general,blue devil,Ngram,blue-devil,blue-devil,blue-devil,Negative
14908,28,80,general,out of countenance,Ngram,out-of-countenance,out-of-countenance,out-of-countenance,Negative
14909,27,80,general,joie de vivre,Ngram,joie-de-vivre,joie-de-vivre,joie-de-vivre,Positive
14910,28,80,general,blue devils,Ngram,blue-devils,blue-devils,blue-devils,Negative
14911,28,80,general,out of one's mind,Ngram,out-of-one's-mind,out-of-ones-mind,out-of-one's-mind,Negative
14912,27,80,general,juiced up,Ngram,juiced-up,juiced-up,juiced-up,Positive
14913,28,80,general,blue funk,Ngram,blue-funk,blue-funk,blue-funk,Negative
14914,28,80,general,out of one's wit,Ngram,out-of-one's-wit,out-of-ones-wit,out-of-one's-wit,Negative
14915,27,80,general,just the ticket,Ngram,just-the-ticket,just-the-ticket,just-the-ticket,Positive
14916,28,80,general,blue in the face,Ngram,blue-in-the-face,blue-in-the-face,blue-in-the-face,Negative
14917,28,80,general,out of place,Ngram,out-of-place,out-of-place,out-of-place,Negative
14918,27,80,general,just what was ordered,Ngram,just-what-was-ordered,just-what-was-ordered,just-what-was-ordered,Positive
14919,28,80,general,boiling mad,Ngram,boiling-mad,boiling-mad,boiling-mad,Negative
14920,28,80,general,out of spirits,Ngram,out-of-spirits,out-of-spirits,out-of-spirits,Negative
14921,27,80,general,keen interest,Ngram,keen-interest,keen-interest,keen-interest,Positive
14922,28,80,general,boiling over,Ngram,boiling-over,boiling-over,boiling-over,Negative
14923,28,80,general,overboard,Ngram,overboard,overboard,overboard,Negative
14924,27,80,general,keeping the faith,Ngram,keeping-the-faith,keeping-the-faith,keeping-the-faith,Positive
14925,28,80,general,bolt from the blue,Ngram,bolt-from-the-blue,bolt-from-the-blue,bolt-from-the-blue,Negative
14926,28,80,general,pain in the neck,Ngram,pain-in-the-neck,pain-in-the-neck,pain-in-the-neck,Negative
14927,27,80,general,kill two birds with one stone,Ngram,kill-two-birds-with-one-stone,kill-two-birds-with-one-stone,kill-two-birds-with-one-stone,Positive
